X,400 cell,X,500 cell,,,X,rho
0.49625,0.432058931,0.397,0.719990235,,,0.393426065,0.728143978
0.49875,0.430575499,0.399,0.712488382,,,0.393743655,0.726928551
0.50125,0.429454988,0.401,0.705040751,,,0.394061245,0.725714748
0.50375,0.428271164,0.403,0.697647508,,,0.394378835,0.724502567
0.50625,0.427259,0.405,0.690308797,,,0.394696425,0.723292006
0.50875,0.426712554,0.407,0.68302473,,,0.395014015,0.722083063
0.51125,0.426573414,0.409,0.675795394,,,0.395331605,0.720875738
0.51375,0.426588512,0.411,0.668620847,,,0.395649195,0.719670028
0.51625,0.42650115,0.413,0.661501111,,,0.395966785,0.718465933
0.51875,0.426337225,0.415,0.654436178,,,0.396284376,0.717263449
0.52125,0.426213674,0.417,0.647426003,,,0.396601966,0.716062576
0.52375,0.426153705,0.419,0.640470507,,,0.396919556,0.714863312
0.52625,0.426135928,0.421,0.633569579,,,0.397237146,0.713665655
0.52875,0.426136998,0.423,0.626723075,,,0.397554736,0.712469604
0.53125,0.426138357,0.425,0.619930826,,,0.397872326,0.711275157
0.53375,0.426121869,0.427,0.613192639,,,0.398189916,0.710082313
0.53625,0.426102373,0.429,0.606508298,,,0.398507506,0.70889107
0.53875,0.426090271,0.431,0.59987757,,,0.398825096,0.707701425
0.54125,0.426084942,0.433,0.593300202,,,0.399142686,0.706513379
0.54375,0.426081447,0.435,0.58677592,,,0.399460277,0.705326929
0.54625,0.426078943,0.437,0.580304425,,,0.399777867,0.704142073
0.54875,0.426078522,0.439,0.573885387,,,0.400095457,0.70295881
0.55125,0.426080888,0.441,0.567518434,,,0.400413047,0.701777138
0.55375,0.426085764,0.443,0.561203144,,,0.400730637,0.700597056
0.55625,0.426087272,0.445,0.554939027,,,0.401048227,0.699418562
0.55875,0.426084899,0.447,0.54872551,,,0.401365817,0.698241654
0.56125,0.426082065,0.449,0.542561903,,,0.401683407,0.697066331
0.56375,0.426077481,0.451,0.536447364,,,0.402000997,0.695892591
0.56625,0.426069742,0.453,0.53038084,,,0.402318587,0.694720434
0.56875,0.426057859,0.455,0.524360993,,,0.402636178,0.693549856
0.57125,0.426042141,0.457,0.518386095,,,0.402953768,0.692380856
0.57375,0.426021795,0.459,0.51245388,,,0.403271358,0.691213433
0.57625,0.425991725,0.461,0.50656132,,,0.403588948,0.690047586
0.57875,0.425952791,0.463,0.500704299,,,0.403906538,0.688883312
0.58125,0.425896019,0.465,0.494877055,,,0.404224128,0.687720611
0.58375,0.425809731,0.467,0.489071247,,,0.404541718,0.686559479
0.58625,0.425687962,0.469,0.483274179,,,0.404859308,0.685399917
0.58875,0.42552438,0.471,0.477465669,,,0.405176898,0.684241922
0.59125,0.42529136,0.473,0.471612469,,,0.405494488,0.683085492
